demand,average_rating,price_difference
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
1062.0,4.45,0
217.0,4.55,22
217.0,4.55,22
217.0,4.55,22
217.0,4.55,22
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
508.0,4.5,0
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
1197.0,4.55,60
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
364.0,4.4,0
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
505.0,4.15,29
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
97.0,4.45,41
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
60.0,3.85,33
2967.0,3.9499999999999997,12
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
86.0,4.35,0
45.0,4.050000000000001,35
45.0,4.050000000000001,35
45.0,4.050000000000001,35
45.0,4.050000000000001,35
64.0,4.4,6
64.0,4.4,6
64.0,4.4,6
64.0,4.4,6
14.0,4.1,3
554.0,4.25,16
554.0,4.25,16
554.0,4.25,16
554.0,4.25,16
28.0,4.05,0
28.0,4.05,0
28.0,4.05,0
28.0,4.05,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
171.0,4.4,0
645.0,4.5,59
645.0,4.5,59
645.0,4.5,59
645.0,4.5,59
64.0,4.5,62
64.0,4.5,62
64.0,4.5,62
64.0,4.5,62
81.0,4.35,46
81.0,4.35,46
81.0,4.35,46
81.0,4.35,46
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
7310.0,4.4,25
86.0,4.0,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
2203.0,4.45,0
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
3126.0,4.4,64
